timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204952.630,-67.871,-14.160,-29.785,-25.879,0.000
1732204952.634,-52.246,-15.625,-14.160,-10.742,0.000
1732204952.638,0.000,-17.090,-23.926,-18.066,0.000
1732204952.642,0.000,-19.043,-28.809,-8.301,0.000
1732204952.646,0.000,-15.137,-24.902,-31.250,0.000
1732204952.649,0.000,-20.996,-15.137,-41.504,0.000
1732204952.653,0.000,-18.066,-20.508,-50.781,0.000
1732204952.657,0.000,-21.484,-26.367,-49.316,0.000
1732204952.661,0.000,-26.367,-29.297,-41.016,0.000
1732204952.665,0.000,-15.137,-27.832,-26.855,0.000
1732204952.669,0.000,-15.137,-32.227,-22.461,0.000
1732204952.673,0.000,-19.043,-33.203,-24.902,0.000
1732204952.677,0.000,-14.160,-30.273,-19.531,0.000
1732204952.681,0.000,-10.254,-24.414,-15.625,0.000
1732204952.685,-13.184,-15.625,-14.648,-9.277,0.000
1732204952.689,-36.621,-19.043,-16.113,-9.277,0.000
1732204952.692,-48.828,-16.113,-16.113,-18.555,0.000
1732204952.696,-52.246,-21.484,-15.137,8.789,0.000
1732204952.700,-55.176,-19.043,-13.184,18.555,0.000
1732204952.704,-32.227,-10.254,-11.719,-12.207,0.000
1732204952.708,-26.855,-13.184,-21.484,-41.504,0.000
1732204952.712,-30.762,-19.043,-20.020,-54.199,0.000
1732204952.716,-9.766,-14.648,-24.414,-60.547,0.000
1732204952.720,-1.953,-10.254,-32.227,-33.203,0.000
1732204952.724,-29.785,-20.996,-19.531,-6.348,0.000
1732204952.727,-34.180,-20.020,-13.672,-0.977,0.000
1732204952.732,-25.879,-8.301,-14.160,0.977,0.000
1732204952.735,-37.109,-10.742,-20.020,-9.277,0.000
1732204952.739,-32.715,-17.090,-34.668,-26.367,0.000
1732204952.743,-22.461,-19.043,-27.832,-44.434,0.000
1732204952.747,-31.738,-14.648,-22.949,-44.922,0.000
1732204952.751,-38.574,-14.648,-22.949,-41.504,0.000
1732204952.755,-27.832,-17.090,-18.555,-30.273,0.000
1732204952.759,-27.344,-14.648,-25.879,-33.691,0.000
1732204952.763,-32.715,-19.531,-22.461,-32.227,0.000
1732204952.767,-17.090,-12.207,-25.879,-15.625,0.000
1732204952.770,-8.789,-4.883,-27.344,-40.527,0.000
1732204952.774,-31.738,-11.230,-22.949,-56.641,0.000
1732204952.779,-45.898,-20.508,-25.391,-43.457,0.000
1732204952.783,-28.320,-21.973,-25.391,-38.086,0.000
1732204952.786,-45.410,-20.996,-28.809,-30.762,0.000
1732204952.790,-72.754,-26.367,-30.273,-9.766,0.000
1732204952.794,-54.199,-23.438,-32.227,-18.066,0.000
1732204952.798,-35.156,-20.508,-27.344,-2.441,0.000
1732204952.802,-42.480,-29.785,-22.461,6.348,0.000
1732204952.806,-34.180,-29.785,-19.043,-2.930,0.000
1732204952.810,-25.391,-20.996,-17.090,-6.348,0.000
1732204952.814,-35.156,-14.160,-17.090,-38.086,0.000
1732204952.818,-40.039,-7.812,-30.762,-79.590,0.000
1732204952.821,-50.293,-4.395,-39.551,-99.609,0.000
1732204952.826,0.000,-7.812,0.000,-59.570,0.000
1732204952.829,0.000,-16.113,0.000,-27.832,0.000
1732204952.833,0.000,-11.719,0.000,-52.734,0.000
1732204952.837,0.000,-12.695,0.000,-76.172,0.000
1732204952.841,0.000,-14.648,0.000,-54.199,0.000
1732204952.845,0.000,-22.461,0.000,-38.086,0.000
1732204952.849,0.000,-23.926,0.000,-43.457,0.000
1732204952.853,0.000,-9.277,0.000,-30.273,0.000
1732204952.857,0.000,-19.531,0.000,-25.879,0.000
1732204952.861,0.000,-17.578,0.000,-30.273,0.000
1732204952.864,0.000,-18.066,0.000,-35.156,0.000
1732204952.868,0.000,-25.391,0.000,-35.645,0.000
1732204952.872,-28.320,-17.090,-28.320,-35.156,0.000
1732204952.876,-24.902,-14.160,-28.809,-35.156,0.000
1732204952.880,-17.090,-12.207,-29.297,-24.902,0.000
1732204952.884,-29.785,-8.301,-29.297,-16.113,0.000
1732204952.888,-41.016,-12.207,-22.949,-16.602,0.000
1732204952.892,-42.480,-18.066,-21.484,-18.555,0.000
1732204952.896,-39.551,-18.066,-35.156,-41.992,0.000
1732204952.900,-30.273,-19.043,-37.109,-54.199,0.000
1732204952.904,-22.949,-16.602,-30.273,-29.785,0.000
1732204952.907,-27.344,-14.648,-39.551,-33.691,0.000
1732204952.911,-45.898,-25.879,-36.133,-41.504,0.000
1732204952.915,-51.270,-30.762,-21.484,-32.715,0.000
1732204952.919,-50.781,-24.902,-22.461,-37.598,0.000
1732204952.923,-59.570,-28.320,-30.762,-56.152,0.000
1732204952.927,-28.320,-28.320,-37.109,-52.734,0.000
1732204952.931,-41.016,-26.855,-36.621,-50.781,0.000
1732204952.935,-55.664,-21.973,-29.297,-47.363,0.000
1732204952.939,-37.109,-20.508,-26.855,-30.273,0.000
1732204952.943,-35.645,-21.484,-21.973,-20.996,0.000
1732204952.947,-47.852,-19.043,-20.508,-35.645,0.000
1732204952.951,-48.828,-17.090,-35.156,-36.621,0.000
1732204952.954,-16.113,-13.672,-39.551,-41.992,0.000
1732204952.958,-11.719,-14.648,-23.926,-47.852,0.000
1732204952.962,-22.461,-17.578,-17.090,-43.457,0.000
1732204952.966,-27.832,-22.949,-29.785,-57.617,0.000
1732204952.970,-17.578,-22.949,-39.551,-66.406,0.000
1732204952.974,-9.766,-22.461,-37.109,-54.199,0.000
1732204952.978,-4.883,-24.414,-29.785,-17.090,0.000
1732204952.982,-12.695,-25.391,-29.297,-18.555,0.000
1732204952.986,-24.902,-22.461,-40.039,-30.273,0.000
1732204952.990,-27.344,-22.461,-38.574,-28.809,0.000
1732204952.994,-33.691,-29.785,-38.086,-11.230,0.000
1732204952.998,-37.109,-29.297,-37.109,16.113,0.000
1732204953.001,-26.855,-23.926,-31.738,-0.977,0.000
1732204953.005,-15.625,-21.973,-30.762,-19.531,0.000
1732204953.009,-22.949,-21.973,-36.133,-39.062,0.000
1732204953.013,-30.273,-23.926,-31.250,-54.688,0.000
