timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122772.526,-5.371,-24.414,-41.504,-37.109,0.000
1733122772.530,-15.137,-32.715,-43.457,-27.832,0.000
1733122772.534,-29.785,-32.227,-41.504,-25.879,0.000
1733122772.538,-32.227,-23.438,-46.387,-34.180,0.000
1733122772.542,-24.902,-27.344,-44.922,-26.367,0.000
1733122772.546,-22.949,-28.320,-42.969,-13.184,0.000
1733122772.550,-35.645,-28.320,-48.340,-14.160,0.000
1733122772.553,-52.734,-32.715,-47.363,-16.113,0.000
1733122772.557,-52.246,-28.320,-37.598,-21.484,0.000
1733122772.561,-36.133,-28.320,-37.109,-19.531,0.000
1733122772.565,-30.762,-27.832,-35.156,-15.137,0.000
1733122772.569,-39.551,-27.344,-35.156,-23.926,0.000
1733122772.573,-47.852,-37.598,-43.457,-23.926,0.000
1733122772.577,-55.176,-39.062,-40.527,-25.879,0.000
1733122772.581,-38.086,-31.738,-38.086,-23.438,0.000
1733122772.585,-22.949,-31.738,-43.457,-21.484,0.000
1733122772.589,-25.879,-33.203,-44.922,-20.996,0.000
1733122772.592,-40.527,-37.109,-42.480,-14.648,0.000
1733122772.596,-48.340,-39.062,-39.551,-23.438,0.000
1733122772.600,-27.832,-31.250,-32.227,-27.344,0.000
1733122772.604,-16.602,-29.297,-35.645,-20.996,0.000
1733122772.608,-20.508,-32.715,-41.992,-10.742,0.000
1733122772.612,-35.156,-37.598,-40.039,-16.113,0.000
1733122772.616,-59.570,-44.434,-40.527,-37.598,0.000
1733122772.620,-51.758,-40.527,-40.039,-37.109,0.000
1733122772.624,-30.273,-33.203,-35.645,-24.902,0.000
1733122772.627,-29.297,-31.738,-36.621,-24.414,0.000
1733122772.631,-35.645,-37.109,-41.504,-27.832,0.000
1733122772.635,-46.387,-39.551,-42.480,-34.180,0.000
1733122772.639,-40.527,-36.133,-38.574,-33.203,0.000
1733122772.643,-27.832,-29.785,-39.062,-28.320,0.000
1733122772.647,-19.531,-30.273,-41.016,-25.879,0.000
1733122772.651,-21.973,-42.969,-37.109,-15.625,0.000
1733122772.655,-38.086,-41.504,-39.551,-18.555,0.000
1733122772.659,-24.902,-32.227,-39.551,-25.879,0.000
1733122772.663,-1.465,-28.320,-31.738,-16.602,0.000
1733122772.666,0.977,-35.156,-34.668,-7.812,0.000
1733122772.670,-15.625,-39.551,-40.527,-15.137,0.000
1733122772.674,-31.738,-38.086,-44.922,-29.785,0.000
1733122772.678,-22.949,-38.086,-47.852,-33.203,0.000
1733122772.682,-6.348,-31.250,-43.945,-27.344,0.000
1733122772.686,-11.230,-33.691,-42.969,-30.273,0.000
1733122772.690,-22.949,-34.668,-45.898,-35.645,0.000
1733122772.694,-32.227,-35.156,-44.922,-36.133,0.000
1733122772.698,-35.156,-40.039,-44.434,-45.410,0.000
1733122772.702,-14.160,-33.691,-39.062,-39.551,0.000
1733122772.706,-4.883,-29.785,-39.062,-33.203,0.000
1733122772.709,-20.020,-36.133,-41.016,-30.273,0.000
1733122772.713,-43.945,-45.898,-44.434,-25.391,0.000
1733122772.717,-46.875,-39.551,-49.805,-34.180,0.000
1733122772.721,-26.367,-32.715,-43.457,-37.109,0.000
1733122772.725,-18.555,-40.039,-39.551,-21.484,0.000
1733122772.729,-25.391,-39.551,-38.574,-12.695,0.000
1733122772.733,-44.922,-38.574,-37.109,-19.043,0.000
1733122772.737,-54.688,-41.016,-36.133,-23.438,0.000
1733122772.741,-39.062,-34.668,-31.738,-25.391,0.000
1733122772.745,-23.438,-30.762,-31.250,-27.344,0.000
1733122772.749,-22.461,-25.879,-36.133,-25.879,0.000
1733122772.752,-37.109,-28.320,-44.434,-30.762,0.000
1733122772.756,-45.410,-41.016,-47.852,-32.227,0.000
